,Song ,Artist(s) ,Writer(s) ,Album ,Year ,Ref. 
104,"""Mean"" ",Taylor Swift ,Taylor Swift ,Speak Now ,2010 ,[6] 
105,"""Mine"" ",Taylor Swift ,Taylor Swift ,Speak Now ,2010 ,[6] 
106,"""Mirrorball"" ",Taylor Swift ,Taylor SwiftJack Antonoff ,Folklore ,2020 ,[14] 
107,"""Miss Americana & the Heartbreak Prince"" ",Taylor Swift ,Taylor Swift Joel Little ,Lover ,2019 ,[16] 
108,"""The Moment I Knew"" ",Taylor Swift ,Taylor Swift ,Red (Deluxe edition) ,2012 ,[8] 
109,"""My Tears Ricochet"" ",Taylor Swift ,Taylor Swift ,Folklore ,2020 ,[14] 
110," ""Never Grow Up"" ",Taylor Swift ,Taylor Swift ,Speak Now ,2010 ,[6] 
111,"""New Romantics"" ",Taylor Swift ,Taylor SwiftMax MartinShellback ,1989(Deluxe edition) ,2014 ,[11] 
112,"""New Year's Day"" ",Taylor Swift ,Taylor Swift Jack Antonoff ,Reputation ,2017 ,[12] 
113," ""Only the Young"" ",Taylor Swift ,Taylor Swift Joel Little ,Non-album promotional single ,2020 ,[42] 
114,"""The Other Side of the Door"" ",Taylor Swift ,Taylor Swift ,Fearless (Platinum edition) ,2009 ,[23] 
115,"""Our Song"" ",Taylor Swift ,Taylor Swift ,Taylor Swift ,2006 ,[2] 
116,"""Ours"" ",Taylor Swift ,Taylor Swift ,Speak Now(Deluxe edition) ,2010 ,[6] 
117,"""Out of the Woods"" ",Taylor Swift ,Taylor Swift Jack Antonoff ,1989 ,2014 ,[11] 
118,"""The Outside"" ",Taylor Swift ,Taylor Swift ,Taylor Swift ,2006 ,[2] 
119," ""Paper Rings"" ",Taylor Swift ,Taylor Swift Jack Antonoff ,Lover ,2019 ,[16] 
120,"""Peace"" ",Taylor Swift ,Taylor SwiftAaron Dessner ,Folklore ,2020 ,[14] 
121,"""A Perfectly Good Heart"" ",Taylor Swift ,Taylor Swift Brett James Troy Verges ,Taylor Swift (Deluxe edition) ,2007 ,[2] 
122,"""Picture to Burn"" ",Taylor Swift ,Taylor Swift Liz Rose ,Taylor Swift ,2006 ,[2] 
123,"""A Place in This World"" ",Taylor Swift ,Taylor Swift Robert Ellis Orrall Angelo Petraglia ,Taylor Swift ,2006 ,[2] 
124," ""...Ready for It?"" ",Taylor Swift ,Taylor Swift Max Martin Shellback Ali Payami ,Reputation ,2017 ,[12] 
125,"""Red"" ",Taylor Swift ,Taylor Swift ,Red ,2012 ,[8] 
126,"""Ronan"" ",Taylor Swift ,Taylor Swift Maya Thompson ,Non-album charity single ,2012 ,[43] 
127," ""Sad Beautiful Tragic"" ",Taylor Swift ,Taylor Swift ,Red ,2012 ,[8] 
128,"""Safe & Sound"" ",Taylor Swift featuring The Civil Wars ,Taylor Swift Joy Williams John Paul White T-Bone Burnett ,The Hunger Games ,2011 ,[31] 
129,"""Santa Baby"" (cover) ",Taylor Swift ,Joan Javits Philip Springer Tony Springer ,Sounds of the Season ,2007 ,[28] 
130,"""September"" (cover) ",Taylor Swift ,Maurice White Al McKay Allee Willis ,Spotify Singles ,2018 ,[44] 
131,"""Seven"" ",Taylor Swift ,Taylor SwiftAaron Dessner ,Folklore ,2020 ,[14] 
132,"""Shake It Off"" ",Taylor Swift ,Taylor Swift Max Martin Shellback ,1989 ,2014 ,[11] 
133,"""Should've Said No"" ",Taylor Swift ,Taylor Swift ,Taylor Swift ,2006 ,[2] 
134,"""Silent Night"" (cover) ",Taylor Swift ,Josef Mohr Franz Xaver Gruber ,Sounds of the Season ,2007 ,[28] 
135,"""So It Goes..."" ",Taylor Swift ,Taylor Swift Max Martin Shellback Oscar Görres ,Reputation ,2017 ,[12] 
136,"""Soon You'll Get Better"" ",Taylor Swift featuring Dixie Chicks ,Taylor Swift Jack Antonoff ,Lover ,2019 ,[16] 
137,"""Sparks Fly"" ",Taylor Swift ,Taylor Swift ,Speak Now ,2010 ,[6] 
138,"""Speak Now"" ",Taylor Swift ,Taylor Swift ,Speak Now ,2010 ,[6] 
139,"""Starlight"" ",Taylor Swift ,Taylor Swift ,Red ,2012 ,[8] 
140,"""State of Grace"" ",Taylor Swift ,Taylor Swift ,Red ,2012 ,[8] 
141,"""Stay Beautiful"" ",Taylor Swift ,Taylor Swift Liz Rose ,Taylor Swift ,2006 ,[2] 
142,"""Stay Stay Stay"" ",Taylor Swift ,Taylor Swift ,Red ,2012 ,[8] 
143,"""The Story of Us"" ",Taylor Swift ,Taylor Swift ,Speak Now ,2010 ,[6] 
144,"""Style"" ",Taylor Swift ,Taylor SwiftMax MartinShellbackAli Payami ,1989 ,2014 ,[11] 
145,"""Superman"" ",Taylor Swift ,Taylor Swift ,Speak Now (Deluxe edition) ,2010 ,[6] 
146,"""Superstar"" ",Taylor Swift ,Taylor Swift ,Fearless (Platinum edition) ,2009 ,[23] 
147,"""Sweeter than Fiction"" ",Taylor Swift ,Taylor Swift Jack Antonoff ,One Chance Soundtrack ,2013 ,[45] 
148," ""Teardrops on My Guitar"" ",Taylor Swift ,Taylor Swift Liz Rose ,Taylor Swift ,2006 ,[2] 
149,"""Tell Me Why"" ",Taylor Swift ,Taylor Swift Liz Rose ,Fearless ,2008 ,[23] 
150,"""This Is Me Trying"" ",Taylor Swift ,Taylor SwiftJack Antonoff ,Folklore ,2020 ,[14] 
151,"""This Is Why We Can't Have Nice Things"" ",Taylor Swift ,Taylor Swift Jack Antonoff ,Reputation ,2017 ,[12] 
152,"""This Love"" ",Taylor Swift ,Taylor Swift ,1989 ,2014 ,[11] 
153,"""Tied Together with a Smile"" ",Taylor Swift ,Taylor Swift Liz Rose ,Taylor Swift ,2006 ,[2] 
154,"""Tim McGraw"" ",Taylor Swift ,Taylor Swift Liz Rose ,Taylor Swift ,2006 ,[2] 
155,"""Today Was a Fairytale"" ",Taylor Swift ,Taylor Swift ,Valentine's Day[f] ,2010 ,[36] 
156,"""Treacherous"" ",Taylor Swift ,Taylor Swift Dan Wilson ,Red ,2012 ,[8] 
157,"""Two Is Better Than One"" ",Boys Like Girls featuring Taylor Swift ,Martin JohnsonTaylor Swift ,Love Drunk ,2009 ,[49] 
158," ""Umbrella"" (live cover) ",Taylor Swift ,"Christopher ""Tricky"" Stewart Terius ""Dream"" Nash Thaddis Harrell Shawn Carter ",iTunes Live from SoHo ,2008 ,[50] 
159,"""Untouchable"" ",Taylor Swift ,Cary Barlowe Nathan Barlowe Tommy Lee James Taylor Swift[g] ,Fearless (Platinum edition) ,2009 ,[23] 
160," ""The Way I Loved You"" ",Taylor Swift ,Taylor Swift John Rich ,Fearless ,2008 ,[23] 
161,"""We Are Never Ever Getting Back Together"" ",Taylor Swift ,Taylor Swift Max Martin Shellback ,Red ,2012 ,[8] 
162,"""Welcome to New York"" ",Taylor Swift ,Taylor Swift Ryan Tedder ,1989 ,2014 ,[11] 
163,"""White Christmas"" (cover) ",Taylor Swift ,Irving Berlin ,Sounds of the Season ,2007 ,[28] 
164,"""White Horse"" ",Taylor Swift ,Taylor Swift Liz Rose ,Fearless ,2008 ,[23] 
165,"""Wildest Dreams"" ",Taylor Swift ,Taylor SwiftMax MartinShellback ,1989 ,2014 ,[11] 
166,"""Wonderland"" ",Taylor Swift ,Taylor SwiftMax MartinShellback ,1989(Deluxe edition) ,2014 ,[11] 
167," ""You Are in Love"" ",Taylor Swift ,Taylor SwiftJack Antonoff ,1989(Deluxe edition) ,2014 ,[11] 
168,"""You Belong with Me"" ",Taylor Swift ,Taylor Swift Liz Rose ,Fearless ,2008 ,[23] 
169,"""You Need to Calm Down"" ",Taylor Swift ,Taylor Swift Joel Little ,Lover ,2019 ,[52] 
170,"""You're Not Sorry"" ",Taylor Swift ,Taylor Swift ,Fearless ,2008 ,[23] 
